Task 1- Release:  0.100, Completion:  0.203, Response: 0.103, WCRT: 0.103, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.301, Response: 0.201, WCRT: 0.201, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.399, Response: 0.299, WCRT: 0.299, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.497, Response: 0.097, WCRT: 0.103, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.602, Response: 0.102, WCRT: 0.201, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.801, Response: 0.101, WCRT: 0.103, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.903, Response: 0.203, WCRT: 0.299, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.099, Response: 0.099, WCRT: 0.103, Next Release:  1.300
Task 2- Release:  0.900, Completion:  1.099, Response: 0.199, WCRT: 0.201, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.399, Response: 0.099, WCRT: 0.103, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.497, Response: 0.197, WCRT: 0.201, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.595, Response: 0.295, WCRT: 0.299, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.698, Response: 0.098, WCRT: 0.103, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.804, Response: 0.104, WCRT: 0.201, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.999, Response: 0.099, WCRT: 0.103, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.097, Response: 0.197, WCRT: 0.299, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.201, Response: 0.101, WCRT: 0.201, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.305, Response: 0.105, WCRT: 0.105, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.599, Response: 0.099, WCRT: 0.105, Next Release:  2.800
